"Region_Country_Area_Code","Region_Country_Area_Name","Year","Cur_health_exp","dom_gen_govern_health_exp","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
234,"Faroe Islands",2010,0.0,0.0,0.1,2.5,0.0,0.0,0.0,0.0,0.0
234,"Faroe Islands",2015,0.0,0.0,0.2,2.4,0.0,0.0,0.0,0.0,0.0
238,"Falkland Islands (Malvinas)",2005,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
238,"Falkland Islands (Malvinas)",2010,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
238,"Falkland Islands (Malvinas)",2015,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
242,"Fiji",2005,3.559,10.3595,0.3,3.0,19.0,39.0,68.0,65.5,70.7
242,"Fiji",2010,3.7014,8.5877,0.9,2.8,17.9,34.0,68.8,66.1,71.9
242,"Fiji",2015,3.5689,7.0442,0.7,2.6,16.0,30.0,69.7,66.9,72.9
246,"Finland",2005,7.9979,12.736,0.3,1.8,3.2,4.0,78.4,74.9,81.7
246,"Finland",2010,8.8687,12.5064,0.4,1.8,2.7,3.0,79.5,76.1,82.9
246,"Finland",2015,9.7429,13.2616,0.4,1.8,2.3,3.0,80.7,77.7,83.7
250,"France",2005,10.1798,15.148,0.5,1.9,4.3,10.0,79.4,75.8,83.1
250,"France",2010,11.1792,15.1169,0.6,2.0,3.7,9.0,80.8,77.4,84.3
250,"France",2015,11.5014,15.5434,0.4,2.0,3.4,8.0,81.9,78.8,85.0
254,"French Guiana",2005,0.0,0.0,4.5,3.7,13.6,0.0,76.1,72.8,80.1
254,"French Guiana",2010,0.0,0.0,2.8,3.6,10.6,0.0,78.0,75.0,81.4
254,"French Guiana",2015,0.0,0.0,2.8,3.5,9.3,0.0,79.2,76.1,82.6
258,"French Polynesia",2005,0.0,0.0,1.4,2.4,9.4,0.0,73.2,70.7,76.1
258,"French Polynesia",2010,0.0,0.0,1.0,2.2,8.8,0.0,75.0,72.8,77.5
258,"French Polynesia",2015,0.0,0.0,0.7,2.1,6.9,0.0,76.1,74.0,78.6
262,"Djibouti",2005,4.5273,5.3278,1.8,4.2,68.1,341.0,57.3,55.9,58.8
262,"Djibouti",2010,4.2971,6.9705,1.7,3.6,63.4,275.0,59.1,57.6,60.5
262,"Djibouti",2015,4.3893,4.0695,1.7,3.1,55.3,229.0,61.6,60.0,63.2
266,"Gabon",2005,2.9341,5.0768,2.6,4.4,58.1,370.0,59.1,58.3,59.8
266,"Gabon",2010,2.4756,6.8134,3.1,4.2,49.3,322.0,61.3,60.8,61.8
266,"Gabon",2015,2.6574,7.0349,3.3,4.0,40.8,291.0,64.5,63.1,65.8
268,"Georgia",2005,8.3039,5.5771,-1.0,1.6,29.0,37.0,72.6,68.9,76.1
268,"Georgia",2010,9.5454,6.1534,-1.2,1.8,20.2,40.0,72.7,68.6,76.5
268,"Georgia",2015,7.9324,9.5979,-1.4,2.0,11.2,36.0,72.8,68.5,77.0
270,"Gambia",2005,4.9078,10.2326,3.2,5.9,59.4,807.0,56.9,55.9,58.1
270,"Gambia",2010,5.7396,7.8139,3.2,5.8,52.4,753.0,58.8,57.6,60.2
270,"Gambia",2015,4.7615,2.7588,3.1,5.6,49.8,706.0,60.3,59.1,61.6
275,"State of Palestine",2005,0.0,0.0,2.1,5.0,24.9,62.0,71.2,69.5,72.9
275,"State of Palestine",2010,0.0,0.0,2.6,4.6,22.3,54.0,72.0,70.2,73.9
275,"State of Palestine",2015,0.0,0.0,2.7,4.3,20.0,45.0,72.9,71.1,74.8
276,"Germany",2005,10.2253,16.7818,0.0,1.4,4.2,7.0,78.6,75.6,81.5
276,"Germany",2010,11.004,19.4114,-0.2,1.4,3.7,7.0,79.7,77.0,82.4
276,"Germany",2015,11.0791,21.3047,0.2,1.4,3.4,6.0,80.4,77.9,82.9
288,"Ghana",2005,5.3295,10.602,2.6,4.6,60.9,376.0,57.5,56.7,58.3
288,"Ghana",2010,6.1306,11.9699,2.6,4.4,55.4,325.0,60.0,59.2,60.9
288,"Ghana",2015,6.0877,8.5579,2.4,4.2,46.5,319.0,61.7,60.7,62.6
292,"Gibraltar",2005,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
292,"Gibraltar",2010,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
292,"Gibraltar",2015,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
296,"Kiribati",2005,11.5077,11.4062,1.8,4.0,51.6,135.0,64.5,61.6,67.5
296,"Kiribati",2010,9.2062,10.295,2.1,3.9,49.3,109.0,65.1,62.0,68.1
296,"Kiribati",2015,8.0908,6.2581,1.8,3.8,46.9,90.0,65.7,62.4,68.9
300,"Greece",2005,8.9966,12.0483,0.3,1.3,4.6,3.0,79.1,76.4,81.9
300,"Greece",2010,9.56,12.4371,0.3,1.5,3.5,3.0,80.0,77.3,82.8
300,"Greece",2015,8.1943,8.7849,-0.4,1.3,3.3,3.0,80.6,78.0,83.3
304,"Greenland",2005,0.0,0.0,0.3,2.3,0.0,0.0,0.0,0.0,0.0
304,"Greenland",2010,0.0,0.0,-0.1,2.3,0.0,0.0,0.0,65.7,71.0
304,"Greenland",2015,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,68.2,72.9
308,"Grenada",2005,5.271,9.9802,0.3,2.4,12.0,25.0,70.9,68.5,73.2
308,"Grenada",2010,6.0906,9.8374,0.3,2.3,10.2,27.0,72.0,69.6,74.4
308,"Grenada",2015,4.8639,7.4443,0.4,2.2,9.6,27.0,73.2,70.8,75.6
312,"Guadeloupe",2005,0.0,0.0,0.7,2.1,8.7,0.0,77.9,74.3,81.4
312,"Guadeloupe",2010,0.0,0.0,0.5,2.1,7.0,0.0,79.3,75.7,82.9
312,"Guadeloupe",2015,0.0,0.0,0.0,2.0,5.8,0.0,80.5,76.8,84.0
316,"Guam",2005,0.0,0.0,0.4,2.7,13.5,0.0,75.9,73.6,78.5
316,"Guam",2010,0.0,0.0,0.1,2.5,11.4,0.0,77.4,74.7,80.3
316,"Guam",2015,0.0,0.0,0.3,2.4,9.6,0.0,78.8,76.4,81.5
320,"Guatemala",2005,6.3367,14.3289,2.3,4.3,37.3,120.0,68.9,65.7,72.1
320,"Guatemala",2010,6.0774,14.0799,2.2,3.6,31.3,109.0,70.5,67.3,73.7
320,"Guatemala",2015,5.5159,15.7313,2.1,3.2,26.9,88.0,72.4,69.2,75.6
324,"Guinea",2005,2.9495,2.992,1.9,5.9,95.2,831.0,51.3,51.3,51.3
324,"Guinea",2010,3.0677,1.9036,2.2,5.5,77.7,720.0,55.5,54.5,56.4
324,"Guinea",2015,5.8271,1.9782,2.3,5.1,65.7,679.0,57.9,57.5,58.4
328,"Guyana",2005,3.3695,6.341,-0.1,2.9,36.5,232.0,65.3,62.6,68.1
328,"Guyana",2010,4.6451,5.6301,-0.1,2.7,34.4,241.0,65.8,63.4,68.4
328,"Guyana",2015,4.4528,7.7892,0.6,2.6,33.2,229.0,66.3,64.0,68.6
332,"Haiti",2005,5.5094,6.6438,1.6,4.0,56.0,459.0,58.3,56.5,60.1
332,"Haiti",2010,8.1456,6.0231,1.5,3.5,52.2,389.0,60.2,58.2,62.3
332,"Haiti",2015,5.3723,3.9792,1.4,3.1,46.9,359.0,62.3,60.2,64.4
336,"Holy See",2005,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
336,"Holy See",2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,"Holy See",2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,"Honduras",2005,7.6776,12.3669,2.4,3.8,31.2,150.0,71.0,68.6,73.4
340,"Honduras",2010,8.6284,13.9667,2.1,3.2,29.4,155.0,72.0,69.6,74.5
340,"Honduras",2015,7.714,11.4276,1.8,2.7,27.8,129.0,72.9,70.4,75.4
344,"China, Hong Kong SAR",2005,0.0,0.0,0.5,1.0,2.5,0.0,81.4,78.5,84.5
